序号,公开(公告)号,标题,申请日,公开(公告)日,申请人,发明(设计)人,IPC
1.  发明授权  有权,CN108858346B,CN201810833186.7 -  一种立式切片机,2018-07-25,2020-12-11,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
2.  发明授权  有权,CN109059061B,CN201810653337.0 -  加热功率调节方法及炉具,2018-06-22,2019-11-15,海底捞控股有限公司,"胡杰  , 卢燕平",[F24C7/08]
3.  发明公开  审中-实审,CN110250916A,CN201910670703.8 -  升降器以及升降锅,2019-07-23,2019-09-20,海底捞控股有限公司,"胡杰  , 谢雄  , 戎军","[A47J36/00, A47J27/10, A47J27/18]"
4.  发明公开  有权,CN108679665A,CN201810653642.X -  节能炉具及餐桌,2018-06-22,2018-10-19,海底捞控股有限公司,"胡杰  , 卢燕平","[F24C7/08, F24C15/10, F24C15/20, F24C3/12, A47B31/02]"
5.  发明公开  无效,CN107550324A,CN201710924627.X -  一种水壶,2017-09-30,2018-01-09,海底捞控股有限公司,"张昆  , 张笑天  , 冯敏",[A47J41/00]
6.  发明授权  有权,CN105058471B,CN201510542317.2 -  一种切片装置,2015-08-28,2017-10-20,海底捞控股有限公司,"江吉涛  , 杨磐","[B26D3/28, B26D1/09, B26D7/26]"
7.  发明公开  有权,CN105058471A,CN201510542317.2 -  一种切片装置,2015-08-28,2015-11-18,海底捞控股有限公司,"江吉涛  , 杨磐","[B26D3/28, B26D1/09, B26D7/26]"
8.  发明授权  有权,CN108679665B,CN201810653642.X -  节能炉具及餐桌,2018-06-22,2019-11-15,海底捞控股有限公司,"胡杰  , 卢燕平","[F24C7/08, F24C15/10, F24C15/20, F24C3/12, A47B31/02]"
9.  发明公开  有权,CN109059061A,CN201810653337.0 -  加热功率调节方法及炉具,2018-06-22,2018-12-21,海底捞控股有限公司,"胡杰  , 卢燕平",[F24C7/08]
10.  发明公开  有权,CN108858346A,CN201810833186.7 -  一种立式切片机,2018-07-25,2018-11-23,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
11.  发明公开  有权,CN108858345A,CN201810833145.8 -  具有闸板压料装置的切片机,2018-07-25,2018-11-23,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
12.  发明公开  审中-实审,CN108784604A,CN201810664873.0 -  预处理除渣装置,2018-06-25,2018-11-13,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/42, A47L15/24]"
13.  发明公开  审中-实审,CN108713726A,CN201810953686.4 -  配锅机,2018-08-17,2018-10-30,"北京和利时智能技术有限公司  , 海底捞控股有限公司","邢松松  , 王以春  , 李鹏飞  , 肖增  , 魏晓磊  , 魏君  , 李清华","[A23L27/00, A23P30/00]"
14.  发明授权  有权,CN108792392B,CN201810757046.6 -  一种可自动输送酒水的酒水存储装置,2018-07-11,2021-01-29,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65G1/04, B65G47/90]"
15.  发明授权  有权,CN108858345B,CN201810833145.8 -  具有闸板压料装置的切片机,2018-07-25,2020-12-11,"海底捞控股有限公司  , 滨州鸿瑞祥工贸有限公司","刘云江  , 王挺  , 阮向朋","[B26D1/09, B26D5/18, B26D7/02, B26D7/26, B26D7/06, B26D7/30, B26D5/00, B26D7/00]"
16.  发明公开  审中-实审,CN109875474A,CN201811244523.5 -  一种火锅盆及其清洗方法和清洗装置,2018-10-24,2019-06-14,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/00, A47L15/42]"
17.  发明公开  审中-实审,CN109047272A,CN201810746775.1 -  一种餐厨垃圾处理装置,2018-07-09,2018-12-21,"海底捞控股有限公司  , 陕西大明机械制造有限公司","刘朋立  , 刘惠敏  , 李刚","[B09B3/00, B09B5/00]"
18.  发明公开  审中-实审,CN109008861A,CN201810946252.1 -  清洗装置及清洗设备,2018-08-17,2018-12-18,"北京和利时智能技术有限公司  , 海底捞控股有限公司","邢松松  , 王以春  , 魏君  , 李清华","[A47L15/00, A47L15/42, A47L15/44]"
19.  发明公开  审中-实审,CN108820669A,CN201810747464.7 -  储存装置及储存设备,2018-07-09,2018-11-16,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国",[B65G1/04]
20.  发明公开  有权,CN108792392A,CN201810757046.6 -  一种可自动输送酒水的酒水存储装置,2018-07-11,2018-11-13,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65G1/04, B65G47/90]"
21.  发明公开  审中-实审,CN108782706A,CN201810771334.7 -  肉类物品整形机构及肉类物品加工系统,2018-07-13,2018-11-13,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国","[A22C17/00, A22C7/00]"
22.  发明公开  审中-实审,CN108674972A,CN201810761482.0 -  机械手执行装置,2018-07-11,2018-10-19,"海底捞控股有限公司  , 北京金日创科技股份有限公司","郑天威  , 刘威  , 付宏实","[B65G47/90, B25J15/00]"
23.  发明公开  审中-实审,CN108639736A,CN201810752720.1 -  运输机构,2018-07-10,2018-10-12,"博众精工科技股份有限公司  , 海底捞控股有限公司","母国栋  , 李刚  , 胡通  , 朱可  , 黄治国","[B65G47/82, B65G47/24]"
24.  发明公开  审中-实审,CN108354559A,CN201810350964.7 -  火锅盆清洗装置,2018-04-18,2018-08-03,"海底捞控股有限公司  , 湖南洗唰唰智能洗净设备有限责任公司","陈瑜  , 王盛  , 王以春","[A47L15/18, A47L15/20, A47L15/42]"
