序号,公开(公告)号,标题,申请日,公开(公告)日,申请人,发明(设计)人,IPC
1.  发明公开  审中-实审,CN112584236A,CN202011643114.X -  图像擦除方法、装置、电子设备及存储介质,2020-12-30,2021-03-30,米哈游科技(上海)有限公司,王达,"[H04N21/44, H04N21/478, A63F13/5252, A63F13/525]"
2.  发明公开  审中-实审,CN111562929A,CN202010358024.X -  补丁文件的生成方法、装置、设备及存储介质,2020-04-29,2020-08-21,米哈游科技(上海)有限公司,王志远,[G06F8/65]
3.  发明公开  审中-实审,CN111104384A,CN201911341125.X -  数据预处理方法、装置、设备和存储介质,2019-12-23,2020-05-05,米哈游科技(上海)有限公司,蓝迪,"[G06F16/18, G06K9/62]"
4.  发明公开  审中-实审,CN111078317A,CN201911302852.5 -  一种场景数据处理方法、装置、计算机设备及存储介质,2019-12-17,2020-04-28,米哈游科技(上海)有限公司,马晓波,[G06F9/445]
5.  发明公开  审中-实审,CN111063012A,CN201911302869.0 -  动画角色的显示方法、装置、电子设备和存储介质,2019-12-17,2020-04-24,米哈游科技(上海)有限公司,汪皓浩,"[G06T13/40, A63F13/58, A63F13/56, A63F13/833]"
6.  发明公开  审中-实审,CN111054072A,CN201911302788.0 -  一种角色模型拖尾的方法、装置、设备及存储介质,2019-12-17,2020-04-24,米哈游科技(上海)有限公司,焦清源,"[A63F13/56, A63F13/60]"
7.  发明公开  审中-实审,CN110960857A,CN201911221377.9 -  一种游戏数据监控方法、装置、电子设备及存储介质,2019-12-03,2020-04-07,米哈游科技(上海)有限公司,傅思渊,[A63F13/75]
8.  发明公开  审中-实审,CN110960855A,CN201911318367.7 -  一种通信协议代码更新方法、装置、电子设备及存储介质,2019-12-19,2020-04-07,米哈游科技(上海)有限公司,莫兹斯,"[A63F13/69, A63F13/77, G06F8/65]"
9.  发明公开  审中-实审,CN110955604A,CN201911226841.3 -  一种信息显示方法、装置、服务器及存储介质,2019-12-04,2020-04-03,米哈游科技(上海)有限公司,滕腾,[G06F11/36]
10.  发明公开  审中-实审,CN110955583A,CN201911312781.7 -  一种通知方法、装置、电子设备及存储介质,2019-12-18,2020-04-03,米哈游科技(上海)有限公司,毛芳,"[G06F11/32, G06F11/30]"
11.  发明公开  审中-实审,CN110933175A,CN201911225584.1 -  一种音频资源下载方法、装置、终端及存储介质,2019-12-04,2020-03-27,米哈游科技(上海)有限公司,滕腾,[H04L29/08]
12.  发明公开  审中-实审,CN110930485A,CN201911248742.5 -  基于动画的角色旋转方法、装置、服务器及存储介质,2019-12-09,2020-03-27,米哈游科技(上海)有限公司,贺知明,[G06T13/40]
